English,Tagalog
Good night,Magandang gabi
Hello,Kamusta
Come here,Halika dito
Tuesday,Martes
Excuse me,Paumanhin
Child,Bata
Friday,Biyernes
Can you help me?,Maaari mo ba akong tulungan?
Tea,Tsaa
Where is the bathroom?,Saan ang banyo?
Go!,Sige!
Where is the bathroom?,Saan ang banyo?
Happy New Year,Maligayang Bagong Taon
My name is,Ang pangalan ko ay
Have a nice day,Magandang araw
Fish,Isda
Apartment,Apartment
Restaurant,Restawran
Sorry,Pasensya na
Work,Trabaho
Merry Christmas,Maligayang Pasko
Stop!,Hinto!
Bus,Bus
Thank you,Salamat
Good night,Magandang gabi
Street,Kalsada
I'm tired,Pagod ako
Tea,Tsaa
Restaurant,Restawran
Come here,Halika dito
It's delicious,Masarap ito
I'm happy,Masaya ako
I'm lost,Naliligaw ako
House,Bahay
I agree,Sang-ayon ako
I'm thirsty,Uhaw ako
No,Hindi
What's your name?,Anong pangalan mo?
I'm sick,May sakit ako
Nice to meet you,Ikinagagalak kitang makilala
Happy New Year,Maligayang Bagong Taon
My name is,Ang pangalan ko ay
Yes,Oo
Milk,Gatas
Saturday,Sabado
"Excuse me, where is?","Paumanhin, nasaan ang?"
Sunday,Linggo
Water,Tubig
Sunday,Linggo
Tea,Tsaa
I need a ticket,Kailangan ko ng ticket
I'm tired,Pagod ako
Train station,Istasyon ng tren
I'm hungry,Gutom ako
I'm sick,May sakit ako
Saturday,Sabado
It's windy,Mahangin
I'm sad,Malungkot ako
I need a ticket,Kailangan ko ng ticket
Do you accept credit cards?,Tumatanggap ba kayo ng credit card?
Maybe,Siguro
I'm happy,Masaya ako
I think so,Sa tingin ko oo
It's sunny,Maaraw
Good morning,Magandang umaga
Go!,Sige!
Maybe,Siguro
Thank you,Salamat
Come here,Halika dito
It's raining,Umuulan
Where is the bathroom?,Saan ang banyo?
Thank you,Salamat
Good morning,Magandang umaga
Work,Trabaho
I need a ticket,Kailangan ko ng ticket
Sunday,Linggo
Good luck,Good luck
I don't think so,Sa tingin ko hindi
House,Bahay
Airport,Paliparan
It's delicious,Masarap ito
I'm lost,Naliligaw ako
My name is,Ang pangalan ko ay
How much does it cost?,Magkano ito?
Yes,Oo
Maybe,Siguro
Can I have the bill?,Pwede bang makuha ang bill?
It's hot,Mainit
Where is the bathroom?,Saan ang banyo?
I'm sad,Malungkot ako
Good luck,Good luck
"Excuse me, where is?","Paumanhin, nasaan ang?"
Go!,Sige!
Meat,Karne
I disagree,Hindi ako sang-ayon
Restaurant,Restawran
Good morning,Magandang umaga
Yesterday,Kahapon
Fruit,Prutas
Do you accept credit cards?,Tumatanggap ba kayo ng credit card?
I don't understand,Hindi ko maintindihan
See you soon,Kitakits sa lalong madaling panahon
Thank you,Salamat
It's cold,Malamig
I'm sick,May sakit ako
Work,Trabaho
Take care,Ingat
I think so,Sa tingin ko oo
It's raining,Umuulan
Bread,Tinapay
Be careful!,Mag-ingat!
Can you help me?,Maaari mo ba akong tulungan?
Good night,Magandang gabi
Happy New Year,Maligayang Bagong Taon
Of course,Siyempre
Tomorrow,Bukas
I'm allergic to,Allergic ako sa
Have a nice day,Magandang araw
Help!,Tulong!
I'm tired,Pagod ako
No,Hindi
I think so,Sa tingin ko oo
Good afternoon,Magandang hapon
I'm happy,Masaya ako
No problem,Walang problema
School,Paaralan
It's too expensive,Masyadong mahal
No,Hindi
Stop!,Hinto!
Doctor,Doktor
Good afternoon,Magandang hapon
Nice to meet you,Ikinagagalak kitang makilala
It's windy,Mahangin
Monday,Lunes
Can I try it on?,Pwede ko bang subukan?
School,Paaralan
Monday,Lunes
I'm hungry,Gutom ako
My name is,Ang pangalan ko ay
How are you?,Kumusta ka?
Man,Lalake
See you later,Kitakits mamaya
Street,Kalsada
How do you say ... in Spanish?,Paano mo sinasabi ... sa Tagalog?
Woman,Babae
I'm lost,Naliligaw ako
Police,Pulis
Friday,Biyernes
Hotel,Hotel
Restaurant,Restawran
I need a doctor,Kailangan ko ng doktor
Coffee,Kape
Merry Christmas,Maligayang Pasko
I need a doctor,Kailangan ko ng doktor
Hello,Kamusta
It's too expensive,Masyadong mahal
Maybe,Siguro
Fruit,Prutas
Friend,Kaibigan
It's hot,Mainit
Food,Pagkain
Yesterday,Kahapon
Thursday,Huwebes
Nice to meet you,Ikinagagalak kitang makilala
Sunday,Linggo
Bike,Bisikleta
Sorry,Pasensya na
It's cold,Malamig
Meat,Karne
I'm lost,Naliligaw ako
What's your name?,Anong pangalan mo?
Vegetable,Gulay
Good luck,Good luck
It's cold,Malamig
See you soon,Kitakits sa lalong madaling panahon
See you later,Kitakits mamaya
Hotel,Hotel
No,Hindi
What's your name?,Anong pangalan mo?
I need a doctor,Kailangan ko ng doktor
Merry Christmas,Maligayang Pasko
Friday,Biyernes
Bread,Tinapay
Of course,Siyempre
Bread,Tinapay
Good afternoon,Magandang hapon
Friday,Biyernes
I don't understand,Hindi ko maintindihan
It's cold,Malamig
I don't think so,Sa tingin ko hindi
Go!,Sige!
Taxi,Taxi
Yesterday,Kahapon
Family,Pamilya
Man,Lalake
It's windy,Mahangin
Can I have the bill?,Pwede bang makuha ang bill?
